country,country_code,tournament_appearances,total_goals_scored,total_goals_conceded,total_open_play_goals,total_own_goals,total_penalty_goals,total_red_cards,max_teams_in_tournament,total_draws,total_losses,total_wins,finals_appearances,tournament_wins,success_score
Albania,ALB,2,4.0,8.0,4.0,0,0,1,24,1,4,1,0,0,0.02
Austria,AUT,4,13.0,16.0,10.0,1,2,1,24,2,7,4,0,0,0.178
Belgium,BEL,7,33.0,29.0,31.0,0,2,2,24,3,10,12,1,0,0.958
Bulgaria,BUL,2,4.0,13.0,4.0,0,0,3,16,1,4,1,0,0,0.0
Croatia,CRO,7,33.0,34.0,27.0,3,3,3,24,8,8,9,0,0,0.529
Czechia,CZE,8,39.0,42.0,36.0,0,3,7,24,5,15,12,1,0,0.65
Denmark,DEN,10,44.0,52.0,41.0,0,3,4,24,9,17,10,1,1,0.821
England,ENG,11,53.0,38.0,48.0,1,4,2,24,15,10,16,1,0,1.0
Finland,FIN,1,1.0,3.0,0.0,1,0,0,24,0,2,1,0,0,0.018
France,FRA,11,71.0,51.0,60.0,2,9,4,24,14,10,22,3,2,1.0
Georgia,GEO,1,4.0,4.0,2.0,0,2,0,24,1,1,1,0,0,0.072
Germany,GER,9,61.0,44.0,54.0,1,6,5,24,10,11,20,3,1,1.0
Greece,GRE,4,14.0,20.0,14.0,0,0,2,16,3,8,5,1,1,0.541
Hungary,HUN,5,16.0,25.0,13.0,0,3,1,24,4,7,3,0,0,0.077
Iceland,ISL,1,8.0,9.0,6.0,1,1,0,24,2,1,2,0,0,0.115
Italy,ITA,11,55.0,34.0,54.0,0,1,7,24,19,7,22,5,1,1.0
Latvia,LVA,1,1.0,5.0,1.0,0,0,0,16,1,2,0,0,0,0.0
Netherlands,NED,11,69.0,45.0,62.0,2,5,6,24,9,12,21,1,1,1.0
North Macedonia,MKD,1,2.0,8.0,2.0,0,0,0,24,0,3,0,0,0,-0.0
Northern Ireland,NIR,1,2.0,3.0,2.0,0,0,0,24,0,3,1,0,0,0.04
Norway,NOR,1,1.0,1.0,1.0,0,0,1,16,1,1,1,0,0,0.053
Poland,POL,5,14.0,21.0,12.0,1,1,3,24,8,7,2,0,0,0.121
Portugal,POR,9,61.0,41.0,53.0,4,4,3,24,10,11,21,2,1,1.0
Republic of Ireland,IRL,3,6.0,17.0,5.0,1,0,2,24,2,6,2,0,0,0.0
Romania,ROU,6,14.0,24.0,12.0,0,2,1,24,6,11,2,0,0,0.096
Russia,RUS,6,22.0,36.0,21.0,0,1,3,24,3,11,6,0,0,0.096
Scotland,SCO,4,7.0,17.0,6.0,0,1,1,24,3,7,2,0,0,0.025
Serbia,SRB,1,1.0,2.0,1.0,0,0,0,24,2,1,0,0,0,0.024
Slovakia,SVK,3,8.0,16.0,5.0,2,1,1,24,2,5,3,0,0,0.035
Slovenia,SVN,2,6.0,7.0,6.0,0,0,1,24,5,1,0,0,0,0.062
Spain,ESP,12,73.0,42.0,68.0,1,4,7,24,15,10,24,4,3,1.0
Sweden,SWE,7,30.0,28.0,26.0,1,3,2,24,7,10,7,0,0,0.498
Switzerland,SUI,6,21.0,27.0,19.0,1,1,4,24,10,7,4,0,0,0.228
Türkiye,TUR,6,19.0,35.0,16.0,2,1,5,24,2,13,6,0,0,0.065
Ukraine,UKR,4,10.0,23.0,10.0,0,0,1,24,1,9,4,0,0,0.015
Wales,WAL,2,13.0,12.0,12.0,1,0,2,24,1,4,5,0,0,0.252
