year,country,country_code,opponent,goals_scored,goals_conceded,open_play_goals,own_goals,penalty_goals,result,round,date,red_cards,teams_in_tournament
1960,France,FRA,Czechoslovakia,0.0,2.0,0.0,0,0,loss,THIRD_PLAY_OFF,1960-07-09,0,4
1960,France,FRA,Yugoslavia,4.0,5.0,4.0,0,0,loss,SEMIFINAL,1960-07-06,0,4
1964,Spain,ESP,USSR,2.0,1.0,2.0,0,0,win,FINAL,1964-06-21,0,4
1964,Hungary,HUN,Denmark,3.0,1.0,2.0,0,1,win,THIRD_PLAY_OFF,1964-06-20,0,4
1964,Denmark,DEN,Hungary,1.0,3.0,1.0,0,0,loss,THIRD_PLAY_OFF,1964-06-20,0,4
1964,Denmark,DEN,USSR,0.0,3.0,0.0,0,0,loss,SEMIFINAL,1964-06-17,0,4
1964,Spain,ESP,Hungary,2.0,1.0,2.0,0,0,win,SEMIFINAL,1964-06-17,0,4
1964,Hungary,HUN,Spain,1.0,2.0,1.0,0,0,loss,SEMIFINAL,1964-06-17,0,4
1968,Italy,ITA,Yugoslavia,2.0,0.0,2.0,0,0,win,FINAL,1968-06-10,0,4
1968,Italy,ITA,Yugoslavia,1.0,1.0,1.0,0,0,draw,FINAL,1968-06-08,0,4
1968,England,ENG,USSR,2.0,0.0,2.0,0,0,win,THIRD_PLAY_OFF,1968-06-08,0,4
1968,England,ENG,Yugoslavia,0.0,1.0,0.0,0,0,loss,SEMIFINAL,1968-06-05,1,4
1968,Italy,ITA,USSR,0.0,0.0,0.0,0,0,draw,SEMIFINAL,1968-06-05,0,4
1972,Hungary,HUN,Belgium,1.0,2.0,0.0,0,1,loss,THIRD_PLAY_OFF,1972-06-17,0,4
1972,Belgium,BEL,Hungary,2.0,1.0,2.0,0,0,win,THIRD_PLAY_OFF,1972-06-17,0,4
1972,Belgium,BEL,West Germany,1.0,2.0,1.0,0,0,loss,SEMIFINAL,1972-06-14,0,4
1972,Hungary,HUN,USSR,0.0,1.0,0.0,0,0,loss,SEMIFINAL,1972-06-14,0,4
1976,Netherlands,NED,Yugoslavia,3.0,2.0,3.0,0,0,win,THIRD_PLAY_OFF,1976-06-19,0,4
1976,Netherlands,NED,Czechoslovakia,1.0,3.0,1.0,0,0,loss,SEMIFINAL,1976-06-16,3,4
1980,Belgium,BEL,West Germany,1.0,2.0,0.0,0,1,loss,FINAL,1980-06-22,0,8
