country,country_code,goals_scored,goals_conceded,open_play_goals,own_goals,penalty_goals,result,red_cards,finals_appearances,tournament_win,year,teams_in_tournament
France,FRA,4.0,7.0,4.0,0,0,[0 0 2],0,0,0,1960,4
Denmark,DEN,1.0,6.0,1.0,0,0,[0 0 2],0,0,0,1964,4
Hungary,HUN,4.0,3.0,3.0,0,1,[1 0 1],0,0,0,1964,4
Spain,ESP,4.0,2.0,4.0,0,0,[2 0 0],0,1,1,1964,4
England,ENG,2.0,1.0,2.0,0,0,[1 0 1],1,0,0,1968,4
Italy,ITA,3.0,1.0,3.0,0,0,[1 2 0],0,2,1,1968,4
Belgium,BEL,3.0,3.0,3.0,0,0,[1 0 1],0,0,0,1972,4
Hungary,HUN,1.0,3.0,0.0,0,1,[0 0 2],0,0,0,1972,4
Netherlands,NED,4.0,5.0,4.0,0,0,[1 0 1],3,0,0,1976,4
Belgium,BEL,4.0,4.0,3.0,0,1,[1 2 1],0,1,0,1980,8
England,ENG,3.0,3.0,3.0,0,0,[1 1 1],0,0,0,1980,8
Greece,GRE,1.0,4.0,1.0,0,0,[0 1 2],0,0,0,1980,8
Italy,ITA,2.0,1.0,2.0,0,0,[1 3 0],0,0,0,1980,8
Netherlands,NED,4.0,4.0,3.0,0,1,[1 1 1],0,0,0,1980,8
Spain,ESP,2.0,4.0,1.0,0,1,[0 1 2],0,0,0,1980,8
Belgium,BEL,4.0,8.0,4.0,0,0,[1 0 2],0,0,0,1984,8
Denmark,DEN,9.0,4.0,7.0,0,2,[2 1 1],2,0,0,1984,8
France,FRA,14.0,4.0,12.0,0,2,[5 0 0],2,1,1,1984,8
Portugal,POR,4.0,4.0,4.0,0,0,[1 2 1],0,0,0,1984,8
Romania,ROU,2.0,4.0,1.0,0,1,[0 1 2],0,0,0,1984,8
Spain,ESP,4.0,5.0,4.0,0,0,[1 3 1],2,1,0,1984,8
Denmark,DEN,2.0,7.0,2.0,0,0,[0 0 3],0,0,0,1988,8
England,ENG,2.0,7.0,2.0,0,0,[0 0 3],0,0,0,1988,8
Ireland,IRL,2.0,2.0,2.0,0,0,[1 1 1],0,0,0,1988,8
Italy,ITA,4.0,3.0,4.0,0,0,[2 1 1],0,0,0,1988,8
Netherlands,NED,8.0,3.0,8.0,0,0,[4 0 1],0,1,1,1988,8
Spain,ESP,3.0,5.0,3.0,0,0,[1 0 2],0,0,0,1988,8
Denmark,DEN,6.0,4.0,6.0,0,0,[2 2 1],0,1,1,1992,8
England,ENG,1.0,2.0,1.0,0,0,[0 2 1],0,0,0,1992,8
France,FRA,2.0,3.0,2.0,0,0,[0 2 1],0,0,0,1992,8
Germany,GER,7.0,8.0,7.0,0,0,[2 1 2],0,1,0,1992,8
Netherlands,NED,6.0,3.0,6.0,0,0,[2 2 0],0,0,0,1992,8
Scotland,SCO,3.0,3.0,2.0,0,1,[1 0 2],0,0,0,1992,8
Sweden,SWE,6.0,5.0,5.0,0,1,[2 1 1],0,0,0,1992,8
Bulgaria,BUL,3.0,4.0,3.0,0,0,[1 1 1],2,0,0,1996,16
Croatia,CRO,5.0,5.0,4.0,0,1,[2 0 2],1,0,0,1996,16
Czechia,CZE,7.0,8.0,6.0,0,1,[2 2 2],2,1,0,1996,16
Denmark,DEN,4.0,4.0,4.0,0,0,[1 1 1],0,0,0,1996,16
England,ENG,8.0,3.0,7.0,0,1,[2 3 0],0,0,0,1996,16
France,FRA,5.0,2.0,4.0,1,0,[2 3 0],0,0,0,1996,16
Germany,GER,10.0,3.0,9.0,0,1,[4 2 0],3,1,1,1996,16
Italy,ITA,3.0,3.0,3.0,0,0,[1 1 1],2,0,0,1996,16
Netherlands,NED,3.0,4.0,2.0,0,1,[1 2 1],0,0,0,1996,16
Portugal,POR,5.0,2.0,5.0,0,0,[2 1 1],1,0,0,1996,16
Romania,ROU,1.0,4.0,1.0,0,0,[0 0 3],0,0,0,1996,16
Russia,RUS,4.0,8.0,4.0,0,0,[0 1 2],1,0,0,1996,16
Scotland,SCO,1.0,2.0,1.0,0,0,[1 1 1],0,0,0,1996,16
Spain,ESP,4.0,3.0,3.0,0,1,[1 3 0],2,0,0,1996,16
Switzerland,SUI,1.0,4.0,1.0,0,0,[0 1 2],0,0,0,1996,16
Turkey,TUR,0.0,5.0,0.0,0,0,[0 0 3],0,0,0,1996,16
Belgium,BEL,2.0,5.0,2.0,0,0,[1 0 2],2,0,0,2000,16
Czechia,CZE,3.0,3.0,2.0,0,1,[1 0 2],0,0,0,2000,16
Denmark,DEN,0.0,8.0,0.0,0,0,[0 0 3],0,0,0,2000,16
England,ENG,5.0,6.0,3.0,0,2,[1 0 2],0,0,0,2000,16
France,FRA,13.0,7.0,12.0,0,1,[5 0 1],0,1,1,2000,16
Germany,GER,1.0,5.0,1.0,0,0,[0 1 2],0,0,0,2000,16
Italy,ITA,9.0,4.0,9.0,0,0,[4 1 1],2,1,0,2000,16
Netherlands,NED,13.0,3.0,11.0,1,1,[4 1 0],1,0,0,2000,16
Norway,NOR,1.0,1.0,1.0,0,0,[1 1 1],1,0,0,2000,16
Portugal,POR,10.0,4.0,10.0,0,0,[4 0 1],1,0,0,2000,16
Romania,ROU,4.0,6.0,4.0,0,0,[1 1 2],1,0,0,2000,16
Slovenia,SVN,4.0,5.0,4.0,0,0,[0 2 1],1,0,0,2000,16
Spain,ESP,7.0,7.0,6.0,0,1,[2 0 2],1,0,0,2000,16
