team,year,team_code,total_participations,total_wins,final_appearances
Czechoslovakia,1960,TCH,4,1,1
France,1960,FRA,20,2,3
Yugoslavia,1960,YUG,8,0,3
USSR,1960,URS,7,1,4
Denmark,1964,DEN,19,1,1
Spain,1964,ESP,20,3,4
Hungary,1964,HUN,8,0,0
England,1968,ENG,19,0,1
Italy,1968,ITA,20,2,5
West Germany,1972,FRG,7,2,3
Belgium,1972,BEL,13,0,1
Netherlands,1976,NED,19,1,1
Greece,1980,GRE,7,1,1
Romania,1984,ROU,11,0,0
Portugal,1984,POR,17,1,2
Republic of Ireland,1988,IRL,6,0,0
Germany,1992,GER,16,1,3
Commonwealth of Independent States,1992,CIS,2,0,0
Scotland,1992,SCO,7,0,0
Sweden,1992,SWE,13,0,0
Croatia,1996,CRO,14,0,0
Czechia,1996,CZE,15,0,1
Russia,1996,RUS,12,0,0
Bulgaria,1996,BUL,4,0,0
Switzerland,1996,SUI,10,0,0
Türki̇ye,1996,TUR,10,0,0
Slovenia,2000,SVN,3,0,0
Norway,2000,NOR,2,0,0
Latvia,2004,LVA,2,0,0
Poland,2008,POL,9,0,0
Austria,2008,AUT,6,0,0
Ukraine,2012,UKR,7,0,0
Wales,2016,WAL,4,0,0
Albania,2016,ALB,3,0,0
Northern Ireland,2016,NIR,2,0,0
Slovakia,2016,SVK,5,0,0
Iceland,2016,ISL,2,0,0
North Macedonia,2020,MKD,2,0,0
Finland,2020,FIN,2,0,0
Georgia,2024,GEO,1,0,0
Serbia,2024,SRB,1,0,0
Türkiye,2024,TUR,1,0,0
